listing,year,reference,title,document_type,download_id,download_url
Chronological legal notices by year,2026,LN. 131/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124025,https://laws.gov.tt/ttdll-web/revision/download/124025?type=amendment
Chronological legal notices by year,2026,LN. 130/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124023,https://laws.gov.tt/ttdll-web/revision/download/124023?type=amendment
Chronological legal notices by year,2026,LN. 129/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124021,https://laws.gov.tt/ttdll-web/revision/download/124021?type=amendment
Chronological legal notices by year,2026,LN. 128/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124019,https://laws.gov.tt/ttdll-web/revision/download/124019?type=amendment
Chronological legal notices by year,2026,LN. 127/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124017,https://laws.gov.tt/ttdll-web/revision/download/124017?type=amendment
Chronological legal notices by year,2026,LN. 126/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124015,https://laws.gov.tt/ttdll-web/revision/download/124015?type=amendment
Chronological legal notices by year,2026,LN. 125/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124013,https://laws.gov.tt/ttdll-web/revision/download/124013?type=amendment
Chronological legal notices by year,2026,LN. 124/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124011,https://laws.gov.tt/ttdll-web/revision/download/124011?type=amendment
Chronological legal notices by year,2026,LN. 123/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124009,https://laws.gov.tt/ttdll-web/revision/download/124009?type=amendment
Chronological legal notices by year,2026,LN. 122/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124007,https://laws.gov.tt/ttdll-web/revision/download/124007?type=amendment
Chronological legal notices by year,2026,LN. 121/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124005,https://laws.gov.tt/ttdll-web/revision/download/124005?type=amendment
Chronological legal notices by year,2026,LN. 120/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124003,https://laws.gov.tt/ttdll-web/revision/download/124003?type=amendment
Chronological legal notices by year,2026,LN. 120/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,124001,https://laws.gov.tt/ttdll-web/revision/download/124001?type=amendment
Chronological legal notices by year,2026,LN. 119/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123999,https://laws.gov.tt/ttdll-web/revision/download/123999?type=amendment
Chronological legal notices by year,2026,LN. 118/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123997,https://laws.gov.tt/ttdll-web/revision/download/123997?type=amendment
Chronological legal notices by year,2026,LN. 117/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123995,https://laws.gov.tt/ttdll-web/revision/download/123995?type=amendment
Chronological legal notices by year,2026,LN. 116/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123993,https://laws.gov.tt/ttdll-web/revision/download/123993?type=amendment
Chronological legal notices by year,2026,LN. 115/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123991,https://laws.gov.tt/ttdll-web/revision/download/123991?type=amendment
Chronological legal notices by year,2026,LN. 114/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123989,https://laws.gov.tt/ttdll-web/revision/download/123989?type=amendment
Chronological legal notices by year,2026,LN. 113/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123958,https://laws.gov.tt/ttdll-web/revision/download/123958?type=amendment
Chronological legal notices by year,2026,LN. 112/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123956,https://laws.gov.tt/ttdll-web/revision/download/123956?type=amendment
Chronological legal notices by year,2026,LN. 111/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123954,https://laws.gov.tt/ttdll-web/revision/download/123954?type=amendment
Chronological legal notices by year,2026,LN. 110/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123952,https://laws.gov.tt/ttdll-web/revision/download/123952?type=amendment
Chronological legal notices by year,2026,LN. 109/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123950,https://laws.gov.tt/ttdll-web/revision/download/123950?type=amendment
Chronological legal notices by year,2026,LN. 108/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123948,https://laws.gov.tt/ttdll-web/revision/download/123948?type=amendment
Chronological legal notices by year,2026,LN. 107/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123946,https://laws.gov.tt/ttdll-web/revision/download/123946?type=amendment
Chronological legal notices by year,2026,LN. 106/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123944,https://laws.gov.tt/ttdll-web/revision/download/123944?type=amendment
Chronological legal notices by year,2026,LN. 105/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123942,https://laws.gov.tt/ttdll-web/revision/download/123942?type=amendment
Chronological legal notices by year,2026,LN. 104/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123940,https://laws.gov.tt/ttdll-web/revision/download/123940?type=amendment
Chronological legal notices by year,2026,LN. 103/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123938,https://laws.gov.tt/ttdll-web/revision/download/123938?type=amendment
Chronological legal notices by year,2026,LN. 102/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123936,https://laws.gov.tt/ttdll-web/revision/download/123936?type=amendment
Chronological legal notices by year,2026,LN. 101/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123934,https://laws.gov.tt/ttdll-web/revision/download/123934?type=amendment
Chronological legal notices by year,2026,LN. 100/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123932,https://laws.gov.tt/ttdll-web/revision/download/123932?type=amendment
Chronological legal notices by year,2026,LN. 99/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123930,https://laws.gov.tt/ttdll-web/revision/download/123930?type=amendment
Chronological legal notices by year,2026,LN. 98/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123928,https://laws.gov.tt/ttdll-web/revision/download/123928?type=amendment
Chronological legal notices by year,2026,LN. 97/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123926,https://laws.gov.tt/ttdll-web/revision/download/123926?type=amendment
Chronological legal notices by year,2026,LN. 96/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123924,https://laws.gov.tt/ttdll-web/revision/download/123924?type=amendment
Chronological legal notices by year,2026,LN. 95/2026,DETENTION ORDER - Emergency Powers Regulations,amendment,123922,https://laws.gov.tt/ttdll-web/revision/download/123922?type=amendment
